,Title,Authors,Journal,Year,Link Abstract,Link HTML,Link PDF
0,Goos–Hänchen shifts at the interfaces between left- and right-handed media,"Qing, De-Kui; Chen, Gang",Optics Letters 29(8) 872-874 ,2004,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-29-8-872&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-29-8-872&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-29-8-872&seq=0&origin=search
1,Opposite Goos–Hänchen shifts for transverse-electric and transverse-magnetic beams at the interface associated with single-negative materials,"Hu, Xiaolong; Huang, Yidong; Zhang, Wei; Qing, De-Kui; Peng, Jiangde",Optics Letters 30(8) 899-901 ,2005,https://www.osapublishing.org/ol/abstract.cfm?uri=ol-30-8-899&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-30-8-899&seq=0&html=true&origin=search,https://www.osapublishing.org/ol/viewmedia.cfm?URI=ol-30-8-899&seq=0&origin=search
2,Quantum-well enhancement of the Goos–Hänchen shift for p-polarized beams in a two-prism configuration,"Broe, Jacob; Keller, Ole",Journal of the Optical Society of America A 19(6) 1212-1222 ,2002,https://www.osapublishing.org/josaa/abstract.cfm?uri=josaa-19-6-1212&origin=search,https://www.osapublishing.org/josaa/viewmedia.cfm?URI=josaa-19-6-1212&seq=0&html=true&origin=search,https://www.osapublishing.org/josaa/viewmedia.cfm?URI=josaa-19-6-1212&seq=0&origin=search
3,Influence of misfit strain on the Goos–Hänchen shift upon reflection from a magnetic film on a nonmagnetic substrate,"Dadoenkova, Yu. S.; Bentivegna, F. F. L.; Dadoenkova, N. N.; Lyubchanskii, I. L.; Lee, Y. P.",Journal of the Optical Society of America B 33(3) 393-404 ,2016,https://www.osapublishing.org/josab/abstract.cfm?uri=josab-33-3-393&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-33-3-393&seq=0&html=true&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-33-3-393&seq=0&origin=search
4,Total Reflection: A New Evaluation of the Goos–Hänchen Shift,"Renard, Rémi H.",Journal of the Optical Society of America 54(10) 1190-1197 ,1964,https://www.osapublishing.org/josa/abstract.cfm?uri=josa-54-10-1190&origin=search,https://www.osapublishing.org/josa/viewmedia.cfm?URI=josa-54-10-1190&seq=0&html=true&origin=search,https://www.osapublishing.org/josa/viewmedia.cfm?URI=josa-54-10-1190&seq=0&origin=search
5,Goos–Hänchen shift of the reflected beam in a standing-wave coupled electromagnetically induced transparency system,"Zhang, Xiao-Jun; Wang, Hai-Hua; Wang, Chun-Liang; Xu, Yan; Liang, Zhi-Peng; Fan, Cun-Bo; Liu, Cheng-Zhi; Gao, Jin-Yue",Journal of the Optical Society of America B 32(11) 2281-2287 ,2015,https://www.osapublishing.org/josab/abstract.cfm?uri=josab-32-11-2281&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-32-11-2281&seq=0&html=true&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-32-11-2281&seq=0&origin=search
6,Nearly three orders of magnitude enhancement of Goos-Hanchen shift by exciting Bloch surface wave,"Wan, Yuhang; Zheng, Zheng; Kong, Weijing; Zhao, Xin; Liu, Ya; Bian, Yusheng; Liu, Jiansheng",Optics Express 20(8) 8998-9003 ,2012,https://www.osapublishing.org/oe/abstract.cfm?uri=oe-20-8-8998&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-20-8-8998&seq=0&html=true&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-20-8-8998&seq=0&origin=search
7,Goos–Hänchen beam shift at total internal reflection with application to spatially dispersive media,"Puri, Ashok; Birman, Joseph L.",Journal of the Optical Society of America A 3(4) 543-549 ,1986,https://www.osapublishing.org/josaa/abstract.cfm?uri=josaa-3-4-543&origin=search,https://www.osapublishing.org/josaa/viewmedia.cfm?URI=josaa-3-4-543&seq=0&html=true&origin=search,https://www.osapublishing.org/josaa/viewmedia.cfm?URI=josaa-3-4-543&seq=0&origin=search
8,Spin canting induced nonreciprocal Goos-Hänchen shifts,"Macêdo, R.; Stamps, R. L.; Dumelow, T.",Optics Express 22(23) 28467-28478 ,2014,https://www.osapublishing.org/oe/abstract.cfm?uri=oe-22-23-28467&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-22-23-28467&seq=0&html=true&origin=search,https://www.osapublishing.org/oe/viewmedia.cfm?URI=oe-22-23-28467&seq=0&origin=search
9,Coherent control of the Goos–Hänchen shift via an inhomogeneous cavity,"Jing, Qingli; Du, Chunguang; Lei, Fuchuan; Gao, Ming; Gao, Jiancun",Journal of the Optical Society of America B 32(8) 1532-1538 ,2015,https://www.osapublishing.org/josab/abstract.cfm?uri=josab-32-8-1532&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-32-8-1532&seq=0&html=true&origin=search,https://www.osapublishing.org/josab/viewmedia.cfm?URI=josab-32-8-1532&seq=0&origin=search
